NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
557,,Galaxy,Lenticular galaxy,14.2
558,,Galaxy,Elliptical galaxy,15
559,,Cluster,Open cluster,9.9
560,,Galaxy,lenticular galaxy,14
561,,Galaxy,Spiral galaxy,14.1
562,,Galaxy,Spiral galaxy,14.5
563,,Galaxy,Spiral galaxy,14.2
564,,Galaxy,Elliptical galaxy,13.8
565,,Galaxy,Spiral galaxy,14.5
566,,Galaxy,Lenticular galaxy,14.6
567,,Galaxy,Galaxy,14
568,,Galaxy,Lenticular galaxy,12.5
569,,Galaxy,Spiral galaxy,14.7
570,,Galaxy,Spiral galaxy,14.2
571,,Galaxy,Spiral galaxy,15
572,,Galaxy,Lenticular galaxy,15.5
573,,Galaxy,Spiral galaxy,13.5
574,,Galaxy,Spiral galaxy,14
575,,Galaxy,Spiral galaxy,13.8
576,,Galaxy,Spiral galaxy,
577,,Galaxy,Spiral galaxy,14.3
578,,Galaxy,Spiral galaxy,11.5
579,,Galaxy,Spiral galaxy,13.6
580,,Galaxy,Spiral galaxy,14.3
581,Messier 103,Cluster,Open cluster,7.7
582,,Galaxy,Spiral galaxy,13.7
583,,Galaxy,Lenticular galaxy,15
584,,Galaxy,Elliptical galaxy,12
585,,Galaxy,Spiral galaxy,14.4
586,,Galaxy,Spiral galaxy,14
587,,Galaxy,Spiral galaxy,13.7
588,(Located in the Triangulum Galaxy),Nebula,Diffuse nebula,11.5
589,,Galaxy,Spiral galaxy,15
590,,Galaxy,Spiral galaxy,14.2
591,,Galaxy,Lenticular galaxy,14.5
592,(Located in Triangulum Galaxy),Nebula,Diffuse nebula,13
593,,Galaxy,Lenticular galaxy,14
594,,Galaxy,Spiral galaxy,13.9
595,(Located in Triangulum Galaxy),Nebula,Diffuse nebula,13.1
596,,Galaxy,Elliptical galaxy,11.5
597,,Galaxy,Spiral galaxy,14.5
598,Messier 33; Triangulum Galaxy,Galaxy,Spiral galaxy,6.3
599,,Galaxy,Lenticular galaxy,13.7
600,,Galaxy,Spiral galaxy,12.5
601,,Galaxy,Galaxy,13
602,(Located in Small Magellanic Cloud),Cluster,Open cluster,
603,,Star,Triple star,14
604,(Located in Triangulum Galaxy),Nebula,Diffuse nebula,11.5
605,,Galaxy,Lenticular galaxy,14.3
606,,Galaxy,Spiral galaxy,14.5
607,,Star,Triple star,
608,,Galaxy,Spiral galaxy,14
609,,Cluster,Open cluster,12.3
610,,N/A,Unknown,
611,,N/A,Unknown,
612,,Galaxy,Lenticular galaxy,14.2
613,,Galaxy,Spiral galaxy,10.8
614,,Galaxy,Lenticular galaxy,13.9
615,,Galaxy,Spiral galaxy,12
616,,Star,Double star,
617,,Galaxy,Galaxy,15.2
618,(Possible duplicate of NGC 614),Galaxy,Lenticular galaxy,13.9
619,,Galaxy,Spiral galaxy,14
620,,Galaxy,Irregular galaxy,13.9
621,,Galaxy,Lenticular galaxy,14.2
622,,Galaxy,Spiral galaxy,14.1
623,,Galaxy,Elliptical galaxy,13.5
624,,Galaxy,Spiral galaxy,14
625,,Galaxy,Irregular galaxy,12.2
626,,Galaxy,Spiral galaxy,14
627,(Duplicate of NGC 614),Galaxy,Lenticular galaxy,13.9
628,Messier 74,Galaxy,Spiral galaxy,10.5
629,,Asterism,Asterism,
630,,Galaxy,Elliptical galaxy,13.5
631,,Galaxy,Elliptical galaxy,15
632,,Galaxy,Lenticular galaxy,13.5
633,,Galaxy,Spiral galaxy,12.9
634,,Galaxy,Spiral galaxy,14
635,,Galaxy,Spiral galaxy,
636,,Galaxy,Elliptical galaxy,12.5
637,,Cluster,Open cluster,8.6
638,,Galaxy,Spiral galaxy,14.4
639,,Galaxy,Spiral galaxy,15.4
640,,Galaxy,Spiral galaxy,15
641,,Galaxy,Elliptical galaxy,13
642,,Galaxy,Spiral galaxy,13.1
643,(Located in Small Magellanic Cloud),Cluster,Open cluster,
644,,Galaxy,Spiral galaxy,15
645,,Galaxy,Spiral galaxy,13.8
646,,Galaxy,Interacting galaxies,13.6
647,,Galaxy,Lenticular galaxy,15
648,,Galaxy,Lenticular galaxy,14.4
649,,Galaxy,Spiral galaxy,14.7
650,Messier 76; Little Dumbbell Nebula,Nebula,Planetary nebula,16.1
651,(Duplicate of NGC 650),Nebula,Planetary nebula,16.1
652,,Galaxy,Spiral galaxy,14.7
653,,Galaxy,Spiral galaxy,14.1
654,,Cluster,Open cluster,7.4
655,,Galaxy,Lenticular galaxy,14
656,,Galaxy,Lenticular galaxy,13.5
657,,Cluster,Open cluster,
658,,Galaxy,Spiral galaxy,13.6
659,,Cluster,Open cluster,8.4
660,,Galaxy,Spiral galaxy,12.8
661,,Galaxy,Elliptical galaxy,13
662,,Galaxy,Spiral galaxy,13.6
663,,Cluster,Open cluster,7.8
664,,Galaxy,Spiral galaxy,13.9
665,,Galaxy,Lenticular galaxy,13.5
666,,Galaxy,Spiral galaxy,13.6
667,,Galaxy,Lenticular galaxy,
668,,Galaxy,Spiral galaxy,13.5
669,,Galaxy,Spiral galaxy,12.9
670,,Galaxy,Lenticular galaxy,13.5
671,,Galaxy,Spiral galaxy,14.3
672,,Galaxy,Spiral galaxy,11.4
673,,Galaxy,Spiral galaxy,13.3
674,(Duplicate of NGC 697),Galaxy,Spiral galaxy,12.7
675,,Galaxy,Spiral galaxy,15.5
676,,Galaxy,Spiral galaxy,12
677,,Galaxy,Elliptical galaxy,14.3
678,,Galaxy,Spiral galaxy,13.3
679,,Galaxy,Lenticular galaxy,13.1
680,,Galaxy,Elliptical galaxy,13
681,,Galaxy,Spiral galaxy,12
682,,Galaxy,Lenticular galaxy,13
683,,Galaxy,Spiral galaxy,14.8
684,,Galaxy,Spiral galaxy,13.2
685,,Galaxy,Spiral galaxy,12
686,,Galaxy,Lenticular galaxy,13
687,,Galaxy,Lenticular galaxy,14.4
688,,Galaxy,Spiral galaxy,13.3
689,,Galaxy,Spiral galaxy,14.4
690,,Galaxy,Spiral galaxy,14.4
691,,Galaxy,Spiral galaxy,13.5
692,,Galaxy,Spiral galaxy,
693,,Galaxy,Spiral galaxy,13.5
694,,Galaxy,Lenticular galaxy,13.9
695,,Galaxy,Lenticular galaxy,13.7
696,,Galaxy,Lenticular galaxy,13.5
697,,Galaxy,Spiral galaxy,12.7
698,,Galaxy,Spiral galaxy,14.5
699,,Galaxy,Spiral galaxy,14
700,,Galaxy,Lenticular galaxy,15.6
701,,Galaxy,Spiral galaxy,12
702,,Galaxy,Interacting galaxies,14
703,,Galaxy,Lenticular galaxy,14.5
704,,Galaxy,Interacting galaxies,14.1
705,,Galaxy,Lenticular galaxy,14.5
706,,Galaxy,Spiral galaxy,13.2
707,,Galaxy,Lenticular galaxy,14
708,,Galaxy,Elliptical galaxy,14.5
709,,Galaxy,Lenticular galaxy,15.2
710,,Galaxy,Spiral galaxy,14.3
711,,Galaxy,Lenticular galaxy,14.5
712,,Galaxy,Lenticular galaxy,13.9
713,,Galaxy,Spiral galaxy,14.9
714,,Galaxy,Lenticular galaxy,13.9
715,,Galaxy,Galaxy,15
716,,Galaxy,Spiral galaxy,14
717,,Galaxy,Spiral galaxy,14.7
718,,Galaxy,Spiral galaxy,12.8
719,,Galaxy,Lenticular galaxy,14.7
720,,Galaxy,Elliptical galaxy,11
721,,Galaxy,Spiral galaxy,13.8
722,,Galaxy,Spiral galaxy,14.6
723,,Galaxy,Spiral galaxy,13.1
724,,Galaxy,Spiral galaxy,13.1
725,,Galaxy,Spiral galaxy,14.3
726,,Galaxy,Irregular galaxy,14.3
727,,Galaxy,Spiral galaxy,14.5
728,,Star,Triple star,
729,(Duplicate of NGC 727),Galaxy,Spiral galaxy,14.5
730,,Star,Star,
731,,Galaxy,Elliptical galaxy,13
732,,Galaxy,Lenticular galaxy,14.9
733,,Star,Star,
734,,Galaxy,Spiral galaxy,15
735,,Galaxy,Spiral galaxy,13.9
736,,Galaxy,Elliptical galaxy,13.6
737,,Star,Star,
738,,Galaxy,Galaxy,15.5
739,,Galaxy,Lenticular galaxy,14.8
740,,Galaxy,Spiral galaxy,14.9
741,,Galaxy,Elliptical galaxy,13.2
742,,Galaxy,Elliptical galaxy,14.8
743,,Cluster,Open cluster,
744,,Cluster,Open cluster,8.4
745,,Galaxy,Interacting galaxies,14
746,,Galaxy,Irregular galaxy,13.8
747,,Galaxy,Spiral galaxy,14
748,,Galaxy,Spiral galaxy,12
749,,Galaxy,Spiral galaxy,
750,,Galaxy,Elliptical galaxy,12.9
751,,Galaxy,Elliptical galaxy,12.9
752,,Cluster,Open cluster,6.5
753,,Galaxy,Spiral galaxy,12.6
754,,Galaxy,Elliptical galaxy,
755,,Galaxy,Spiral galaxy,13
756,,Galaxy,Lenticular galaxy,15
757,(Duplicate of NGC 731),Galaxy,Elliptical galaxy,13
758,,Galaxy,Galaxy,15.1
759,,Galaxy,Elliptical galaxy,13.7
760,,Star,Double star,14.5
761,,Galaxy,Spiral galaxy,14.5
762,,Galaxy,Spiral galaxy,13.5
763,(Duplicate of NGC 755),Galaxy,Spiral galaxy,13
764,,Star,Double star,
765,,Galaxy,Spiral galaxy,14.2
766,,Galaxy,Elliptical galaxy,14.4
767,,Galaxy,Spiral galaxy,14
768,,Galaxy,Spiral galaxy,14.3
769,,Galaxy,Spiral galaxy,13.4
770,,Galaxy,Elliptical galaxy,14.2
771,,Star,Star,3.95
772,,Galaxy,Spiral galaxy,11.3
773,,Galaxy,Spiral galaxy,14
774,,Galaxy,Lenticular galaxy,14.4
775,,Galaxy,Spiral galaxy,12.9
776,,Galaxy,Spiral galaxy,13.4
777,,Galaxy,Elliptical galaxy,12.7
778,,Galaxy,Lenticular galaxy,14.2
779,,Galaxy,Spiral galaxy,12
780,,Galaxy,Galaxy,14.6
781,,Galaxy,Spiral galaxy,14
782,,Galaxy,Spiral galaxy,12.8
783,,Galaxy,Spiral galaxy,12.8
784,,Galaxy,Irregular galaxy,12.1
785,,Galaxy,Lenticular galaxy,13.9
786,,Galaxy,Spiral galaxy,14.3
787,,Galaxy,Spiral galaxy,13
788,,Galaxy,Spiral galaxy,13
789,,Galaxy,Spiral galaxy,14
790,,Galaxy,Lenticular galaxy,13.5
791,,Galaxy,Elliptical galaxy,14.8
792,,Galaxy,Lenticular galaxy,14.6
793,,Star,Double star,
794,,Galaxy,Lenticular galaxy,14
795,,Galaxy,Lenticular galaxy,
796,(Located in Small Magellanic Cloud),Cluster,Open cluster,
797,,Galaxy,Interacting galaxies,13.9
798,,Galaxy,Elliptical galaxy,14.7
799,,Galaxy,Spiral galaxy,14.2
800,,Galaxy,Spiral galaxy,14.7
801,,Galaxy,Spiral galaxy,14.2
802,,Galaxy,Lenticular galaxy,
803,,Galaxy,Spiral galaxy,13.5
804,,Galaxy,Lenticular galaxy,14.7
805,,Galaxy,Lenticular galaxy,14.7
806,,Galaxy,Spiral galaxy,14
807,,Galaxy,Elliptical galaxy,13.8
808,,Galaxy,Spiral galaxy,14.3
809,,Galaxy,Lenticular galaxy,14
810,,Galaxy,Interacting galaxies,15.4
811,,Galaxy,Spiral galaxy,14
812,,Galaxy,Spiral galaxy,12.8
813,,Galaxy,Lenticular galaxy,14.6
814,,Galaxy,Lenticular galaxy,
815,,Galaxy,Interacting galaxies,15.1
816,,Galaxy,Galaxy,15.3
817,,Galaxy,Spiral galaxy,13.9
818,,Galaxy,Spiral galaxy,12.7
819,,Galaxy,Spiral galaxy,14.1
820,,Galaxy,Spiral galaxy,13.7
821,,Galaxy,Elliptical galaxy,12.6
822,,Galaxy,Elliptical galaxy,13
823,,Galaxy,Lenticular galaxy,13.6
824,,Galaxy,Spiral galaxy,13
825,,Galaxy,Spiral galaxy,14.5
826,,Galaxy,Galaxy,15.4
827,,Galaxy,Spiral galaxy,14
828,,Galaxy,Spiral galaxy,13
829,,Galaxy,Spiral galaxy,14
830,,Galaxy,Lenticular galaxy,15
831,,Galaxy,Spiral galaxy,15.2
832,,Star,Double star,
833,,Galaxy,Spiral galaxy,14
834,,Galaxy,Spiral galaxy,13.2
835,,Galaxy,Spiral galaxy,13.5
836,,Galaxy,Spiral galaxy,13.7
837,,Galaxy,Spiral galaxy,
838,,Galaxy,Lenticular galaxy,14
839,,Galaxy,Spiral galaxy,13.7
840,,Galaxy,Spiral galaxy,14.7
841,,Galaxy,Spiral galaxy,12.8
842,,Galaxy,Lenticular galaxy,14
843,,Star,Triple star,
844,,Galaxy,Galaxy,15
845,,Galaxy,Spiral galaxy,14.5
846,,Galaxy,Spiral galaxy,13.2
847,,Galaxy,Spiral galaxy,13.2
848,,Galaxy,Spiral galaxy,15
849,,Galaxy,Lenticular galaxy,15.7
850,,Galaxy,Lenticular galaxy,14.1
851,,Galaxy,Lenticular galaxy,14.7
852,,Galaxy,Spiral galaxy,
853,,Galaxy,Irregular galaxy,13
854,,Galaxy,Spiral galaxy,13
855,,Galaxy,Elliptical galaxy,13
856,,Galaxy,Spiral galaxy,14.4
857,,Galaxy,Lenticular galaxy,13.3
858,,Galaxy,Spiral galaxy,14
859,,Galaxy,Spiral galaxy,14.4
860,,Galaxy,Galaxy,15.1
861,,Galaxy,Spiral galaxy,14.8
862,,Galaxy,Elliptical galaxy,13.7
863,,Galaxy,Spiral galaxy,14
864,,Galaxy,Spiral galaxy,12
865,,Galaxy,Spiral galaxy,14
866,(Duplicate of NGC 863),Galaxy,Spiral galaxy,14
867,,Galaxy,Lenticular galaxy,14.2
868,,Galaxy,Spiral galaxy,15.6
869,h Persei Cluster,Cluster,Open cluster,5.7
870,,Galaxy,Galaxy,16
871,,Galaxy,Spiral galaxy,13.6
872,,Galaxy,Spiral galaxy,
873,,Galaxy,Spiral galaxy,13.8
874,,Galaxy,Spiral galaxy,
